antibody_id,score,vdw,elec,desolv,bsa,total
sbio-nipahgpg-001,-83.957,-59.289,-18.7788,-20.9122,1970.72,-78.0678
sbio-nipahgpg-002,-57.4166,-38.8113,-77.8233,-3.04064,1541.35,-116.6346
sbio-nipahgpg-003,13.2364,2.95789,-24.8325,15.245,1903.6,-21.87461
sbio-nipahgpg-004,-32.3134,0.874296,-258.981,18.6085,2535.76,-258.106704
sbio-nipahgpg-005,-69.4488,-54.5896,-72.2109,-0.417022,1706.01,-126.8005
sbio-nipahgpg-008,-27.9037,-20.0387,-62.1776,4.57055,1542.78,-82.21629999999999
sbio-nipahgpg-009,-47.3955,-39.8312,-56.5966,3.75498,2232.32,-96.4278
sbio-nipahgpg-010,-48.9631,-44.9961,-93.7319,14.7794,2778.09,-138.728
sbio-nipahgpg-011,-35.7577,-23.5979,-56.9246,-0.774866,1703.53,-80.5225
sbio-nipahgpg-012,-24.1919,23.9928,-354.335,22.6823,1966.14,-330.3422
sbio-nipahgpg-013,-64.8049,-28.5074,-169.389,-2.41974,1679.9,-197.8964
sbio-nipahgpg-014,2.3059,6.30815,-118.575,19.7128,1990.3,-112.26685
sbio-nipahgpg-015,-43.498,-24.9113,-108.194,3.05206,1712.75,-133.1053
sbio-nipahgpg-016,-121.3394,-89.757,-216.893,11.7962,3760.39,-306.65
sbio-nipahgpg-017,-64.3324,-46.1015,-134.574,8.68388,1744.55,-180.6755
sbio-nipahgpg-018,-37.057,-33.8572,-84.8708,13.7744,2222.19,-118.72800000000001
sbio-nipahgpg-019,-95.2651,-49.3805,-208.845,-4.11557,1987.64,-258.2255
sbio-nipahgpg-020,-103.6685,-56.4619,-324.237,17.6408,2440.57,-380.69890000000004
sbio-nipahgpg-021,-145.936,-104.585,-258.636,10.3762,3593.94,-363.221
sbio-nipahgpg-022,-104.7026,-68.1422,-302.967,24.033,3305.46,-371.1092
sbio-nipahgpg-023,-49.804,-37.0069,-111.636,9.53015,1519.38,-148.6429
sbio-nipahgpg-024,-55.5488,-40.5978,-37.8506,-7.38087,1260.76,-78.44839999999999
sbio-nipahgpg-025,37.7324,70.9209,-142.661,-4.6563,2296.4,-71.7401
sbio-nipahgpg-026,-8.4433,11.9402,-90.1508,-2.35331,3337.21,-78.2106
sbio-nipahgpg-027,-71.014,-50.4173,-41.6035,-12.276,1922.93,-92.0208
sbio-nipahgpg-028,-94.3644,-50.6869,-289.857,14.2939,2994.17,-340.5439
sbio-nipahgpg-029,-104.1868,-53.1024,-108.078,-29.4688,2089.27,-161.18040000000002
sbio-nipahgpg-030,-99.8474,-66.7716,-126.672,-7.7414,3010.73,-193.4436
sbio-nipahgpg-031,-120.2626,-77.0993,-237.358,4.30831,3668.55,-314.45730000000003
sbio-nipahgpg-032,-73.757,-51.9553,-64.6189,-8.87795,1986.6,-116.57419999999999
sbio-nipahgpg-033,-45.7249,-39.8111,-5.72077,-4.7696,2151.51,-45.531870000000005
sbio-nipahgpg-034,-120.7523,-94.0087,-136.908,0.637996,2942.5,-230.9167
sbio-nipahgpg-035,-105.0954,-58.1359,-143.19,-18.3215,3581.97,-201.3259
sbio-nipahgpg-036,-82.7081,-55.5927,-40.0198,-19.1114,2490.2,-95.6125
sbio-nipahgpg-037,-63.0433,-36.5797,-30.7416,-20.3153,1677.1,-67.32130000000001
sbio-nipahgpg-038,10.1843,36.0265,-1.13612,-25.615,1965.04,34.89038
sbio-nipahgpg-039,-54.6535,-40.0676,-69.2902,-0.727878,2421.22,-109.3578
sbio-nipahgpg-040,-106.3928,-61.4684,-97.6468,-25.395,2876.13,-159.11520000000002
sbio-nipahgpg-041,-43.3003,-4.5838,-141.902,-10.3361,2100.21,-146.48579999999998
sbio-nipahgpg-042,-25.8287,-6.10227,-16.3812,-16.4502,1905.8,-22.48347
sbio-nipahgpg-043,-42.6157,-1.90148,-100.369,-20.6404,1548.11,-102.27048
sbio-nipahgpg-044,-83.7731,-59.821,-116.371,-0.67793,2328.17,-176.192
sbio-nipahgpg-045,-37.0287,-20.5205,-2.01698,-16.1048,1939.41,-22.53748
sbio-nipahgpg-046,-77.1109,-46.4124,-3.06804,-30.0849,1648.01,-49.48044
sbio-nipahgpg-047,-76.8479,-29.3508,-106.417,-26.2137,2846.4,-135.7678
sbio-nipahgpg-048,-89.0195,-54.5318,-75.2728,-19.4331,1999.45,-129.8046
sbio-nipahgpg-049,-86.3435,-29.1057,-286.689,0.09998341,1747.71,-315.79470000000003
sbio-nipahgpg-050,-15.9209,6.54027,-7.43484,-20.9742,1398.1,-0.8945700000000008
sbio-nipahgpg-051,-81.4828,-37.198,-173.834,-9.51801,2687.41,-211.032
sbio-nipahgpg-052,-108.5438,-51.1203,-174.454,-22.5327,2020.24,-225.5743
sbio-nipahgpg-053,-40.5356,-27.5821,25.1607,-17.9856,1964.77,-2.421400000000002
sbio-nipahgpg-054,-76.0511,-57.0309,-39.7986,-11.0605,2169.8,-96.8295
sbio-nipahgpg-055,-77.3832,-51.4887,-67.1915,-12.4562,1840.07,-118.68020000000001
sbio-nipahgpg-056,-58.1107,-53.4786,7.35926,-6.10391,2011.84,-46.11934
sbio-nipahgpg-057,-49.3013,-8.61391,-17.0116,-37.2851,2138.07,-25.625510000000002
sbio-nipahgpg-058,-48.1679,-35.2412,-100.386,7.15047,2253.55,-135.6272
sbio-nipahgpg-059,-72.7141,-26.4964,-207.789,-4.6599,2385.42,-234.28539999999998
sbio-nipahgpg-060,-46.9649,-25.6829,-93.6675,-2.54847,2088.59,-119.35040000000001
sbio-nipahgpg-061,-110.2602,-53.0846,-256.471,-5.88138,2667.41,-309.5556
sbio-nipahgpg-062,-79.0046,-75.9259,-27.4349,2.40832,2412.7,-103.3608
sbio-nipahgpg-063,-88.5423,-75.0159,3.62994,-14.2524,2201.75,-71.38596
sbio-nipahgpg-064,-94.3758,-58.172,-125.83,-11.0378,2234.4,-184.002
sbio-nipahgpg-065,-48.084,-43.8233,-32.8961,2.31848,2393.3,-76.71940000000001
sbio-nipahgpg-066,-82.9808,-56.4497,-23.4904,-21.833,1798.66,-79.9401
sbio-nipahgpg-067,-61.9455,-31.2274,-159.449,1.17166,1721.94,-190.6764
sbio-nipahgpg-068,-51.2579,-37.1824,-57.7962,-2.51627,1810.79,-94.9786
sbio-nipahgpg-069,-4.8359,27.9078,-150.222,-2.69931,1826.96,-122.3142
sbio-nipahgpg-070,-8.0467,18.4268,-140.596,1.64572,1695.96,-122.1692
sbio-nipahgpg-071,-66.8923,-41.7253,-19.5575,-21.2555,1410.7,-61.282799999999995
sbio-nipahgpg-072,-120.4547,-54.7797,-287.539,-8.16724,2594.96,-342.3187
sbio-nipahgpg-073,-22.7461,10.3936,-35.7376,-25.9922,1709.37,-25.344
sbio-nipahgpg-074,-36.9891,-21.4591,-43.1722,-6.89558,1469.49,-64.6313
sbio-nipahgpg-075,-100.053,-91.5411,-76.6972,6.82749,2964.55,-168.23829999999998
sbio-nipahgpg-076,-78.7978,-52.4403,-176.27,8.89653,3788.93,-228.71030000000002
sbio-nipahgpg-077,4.4205,18.6209,-100.639,5.9274,2202.69,-82.0181
sbio-nipahgpg-078,-75.838,-29.6219,-152.501,-15.7159,1652.15,-182.12290000000002
sbio-nipahgpg-079,-163.4383,-105.024,-282.394,-1.9355,4302.5,-387.418
sbio-nipahgpg-080,-82.4598,-22.0938,-259.588,-8.44838,1857.51,-281.6818
sbio-nipahgpg-081,-100.9539,-52.5043,-206.434,-7.16284,2047.68,-258.9383
sbio-nipahgpg-082,-38.968,-17.3042,-58.3316,-9.99751,1930.3,-75.6358
sbio-nipahgpg-083,-61.1468,-60.8352,-10.0494,1.69828,2425.48,-70.8846
sbio-nipahgpg-084,-22.426,-4.47994,-131.859,8.42574,2202.47,-136.33894
sbio-nipahgpg-085,-76.1824,-43.3206,-137.214,-5.41901,2396.02,-180.5346
sbio-nipahgpg-086,-68.7683,-40.1437,-237.062,18.7878,1597.51,-277.20570000000004
sbio-nipahgpg-087,-43.55,-41.1104,-86.3176,14.8239,2326.99,-127.428
sbio-nipahgpg-088,-103.3896,-72.6315,-117.992,-7.15968,2110.38,-190.6235
sbio-nipahgpg-089,-49.3285,-45.5378,-57.7261,7.75456,1926.33,-103.2639
sbio-nipahgpg-090,-39.0938,-40.3257,17.9667,-2.36145,2066.66,-22.358999999999998
sbio-nipahgpg-091,-124.3715,-93.8974,-112.158,-8.04249,3098.85,-206.05540000000002
sbio-nipahgpg-092,-68.1424,-40.9486,-15.8556,-24.0227,2128.97,-56.8042
sbio-nipahgpg-093,-35.9389,-2.33325,-17.7065,-30.0644,1639.09,-20.039749999999998
sbio-nipahgpg-094,-97.5055,-71.972,-47.3692,-16.0597,3256.86,-119.34119999999999
sbio-nipahgpg-095,-119.3539,-91.6623,-14.1608,-24.8594,3531.56,-105.8231
sbio-nipahgpg-096,-70.0943,-57.146,-43.2871,-4.29085,2403.19,-100.4331
sbio-nipahgpg-097,-97.8889,-49.706,-156.714,-16.8401,2749.5,-206.42000000000002
sbio-nipahgpg-098,-86.9045,-79.8501,-51.4005,3.22573,2691.8,-131.2506
sbio-nipahgpg-099,-89.1761,-72.2157,-54.9288,-5.97465,2760.72,-127.1445
sbio-nipahgpg-100,-70.3024,-9.95154,-273.602,-5.63042,2501.58,-283.55354
sbio-nipahgpg-101,-93.4339,-45.8168,-75.9081,-32.4355,2063.86,-121.7249
sbio-nipahgpg-102,-66.459,-37.577,-29.8947,-22.9031,1849.09,-67.4717
sbio-nipahgpg-103,-53.5521,-17.8629,-25.9093,-30.5073,1876.54,-43.7722
sbio-nipahgpg-104,-73.1458,-60.0411,-59.2978,-1.24518,2050.58,-119.3389
sbio-nipahgpg-105,-30.7227,-21.607,8.88285,-10.8923,1726.29,-12.72415
sbio-nipahgpg-106,-37.3194,-29.5167,-61.6833,4.53399,1865.44,-91.2
sbio-nipahgpg-107,-55.3143,-35.1928,-75.4639,-5.02874,1577.34,-110.6567
sbio-nipahgpg-108,-50.3436,-31.2721,-106.591,2.24673,1926.21,-137.8631
sbio-nipahgpg-109,-63.1538,-19.3705,-95.5359,-24.6761,2782.69,-114.90639999999999
sbio-nipahgpg-110,-77.426,-37.3403,-159.395,-8.20673,1495.72,-196.7353
sbio-nipahgpg-111,-97.899,-75.7999,-62.5569,-9.58776,2796.48,-138.3568
sbio-nipahgpg-112,14.8804,29.4041,1.378,-14.7993,1636.89,30.7821
sbio-nipahgpg-113,-63.3284,-32.1298,-149.658,-1.26695,1964.18,-181.7878
sbio-nipahgpg-114,-89.1321,-49.7663,-135.123,-12.3412,2674.43,-184.8893
sbio-nipahgpg-115,-68.4654,-15.0977,-254.179,-2.53186,1760.03,-269.2767
sbio-nipahgpg-116,-47.5858,-40.3959,-21.7776,-2.83439,1519.77,-62.1735
sbio-nipahgpg-117,-69.5924,-35.206,-75.8508,-19.2162,1715.81,-111.05680000000001
sbio-nipahgpg-118,-31.2901,-13.5668,-112.608,4.7983,1621.06,-126.1748
sbio-nipahgpg-119,-63.7101,-40.7471,-15.7272,-19.8176,1781.31,-56.4743
sbio-nipahgpg-120,-139.6331,-73.8062,-281.106,-9.60566,3163.58,-354.9122
sbio-nipahgpg-121,-64.2313,-43.5031,-0.4771,-20.6328,1932.5,-43.9802
sbio-nipahgpg-122,-108.4843,-63.6329,-270.251,9.19885,3330.67,-333.8839
sbio-nipahgpg-123,-48.9369,-49.4826,-1.67348,0.880442,1560.24,-51.156079999999996
sbio-nipahgpg-124,-95.8762,-79.3969,-109.164,5.3535,2583.74,-188.5609
sbio-nipahgpg-125,-82.8113,-48.4402,-157.323,-2.90645,2755.59,-205.7632
sbio-nipahgpg-126,-20.005,-17.7911,-17.7932,1.34472,1393.13,-35.5843
sbio-nipahgpg-127,-54.9219,-24.5528,-53.441,-19.6809,2083.72,-77.99380000000001
sbio-nipahgpg-128,-112.9117,-70.4637,-154.289,-11.5902,2166.86,-224.7527
sbio-nipahgpg-129,-55.2917,-43.5495,-5.87028,-10.5681,2364.26,-49.41978
sbio-nipahgpg-130,-84.1846,-0.84342,-358.317,-11.6778,2277.58,-359.16042
sbio-nipahgpg-131,-65.988,-35.6351,-98.8811,-10.5767,1605.79,-134.5162
sbio-nipahgpg-132,-77.8372,-55.7373,-58.5676,-10.3864,2648.01,-114.3049
sbio-nipahgpg-133,-2.3262,18.3885,-40.0041,-12.7139,1957.22,-21.6156
sbio-nipahgpg-134,-107.9476,-62.0753,-247.212,3.5701,2196.05,-309.28729999999996
sbio-nipahgpg-135,-79.4995,-55.0858,-70.2946,-10.3548,2914.33,-125.38040000000001
sbio-nipahgpg-136,-104.3889,-55.7347,-144.678,-19.7186,2412.21,-200.4127
sbio-nipahgpg-137,-51.8417,-8.72768,-118.177,-19.4786,1805.3,-126.90468000000001
